Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
N.C. Central,2025-12-07,1,7,8,1,South Carolina,.296,.286,.316,.571,42,.507,.500,.524,.794,106
Indiana,2025-11-30,7,0,8,0,Iowa St.,.508,.632,.320,.920,95,.639,.702,.429,.786,106
Cal St Northridge,2025-11-26,2,3,0,0,Life Pacific,.500,.743,.327,.667,106,.281,.353,.174,.583,43
LSU-Alexandria,2025-11-22,0,0,2,1,McNeese,.225,.250,.188,.750,33,.488,.525,.368,.677,106
South Carolina,2025-11-19,4,0,2,2,Winthrop,.642,.760,.294,.625,106,.318,.311,.333,.778,56
Elizabeth City St.,2025-11-07,0,0,0,1,Old Dominion,.193,.250,.059,.474,32,.519,.630,.280,.654,106
North Texas,2025-11-03,0,0,0,0,Oklahoma Christian,.594,.619,.545,.783,106,.318,.333,.300,.286,36
Indiana St.,2026-03-13,10,21,28,3,Murray St.,.463,.528,.214,.852,88,.484,.512,.435,.767,105
Rice,2026-02-28,25,3,18,9,Tulsa,.514,.510,.522,.864,105,.472,.548,.364,.467,65
Michigan,2026-01-08,12,2,7,8,Penn St.,.459,.468,.444,.833,105,.446,.541,.263,.714,65
Illinois St.,2025-12-29,6,6,4,7,Indiana St.,.486,.561,.379,.867,105,.328,.362,.235,.783,64
Fla. Gulf Coast,2025-12-20,3,5,11,1,South Carolina,.269,.389,.206,1.000,43,.625,.722,.333,.529,105
Arizona,2025-12-18,8,2,2,9,Bellarmine,.564,.631,.231,.700,105,.306,.321,.294,.733,59
Alabama St.,2025-12-17,3,6,10,1,Miss. St.,.362,.409,.214,.600,57,.500,.525,.412,.769,105
Davis & Elkins,2025-12-11,0,0,7,3,Marshall,.302,.368,.133,.857,40,.534,.700,.333,.889,105
Iowa St.,2025-12-07,9,0,2,6,Northern Ill.,.617,.641,.571,.731,105,.364,.417,.263,.636,52
Johnson/Wales-NC,2025-12-03,0,0,5,4,Winthrop,.281,.366,.063,.571,41,.494,.556,.348,.840,105
Marshall,2025-11-18,2,2,0,0,Salem Int'l,.542,.667,.333,.818,105,.234,.345,.056,1.000,31
Oklahoma St.,2025-11-11,4,0,0,2,Prairie View,.500,.636,.342,.833,105,.436,.525,.200,.500,55
Emmanuel (MA),2025-11-10,0,0,2,0,Rhode Island,.328,.273,.471,.250,49,.483,.554,.364,.700,105
King's (PA),2025-11-07,0,0,0,0,Penn,.200,.200,.200,.750,31,.553,.689,.355,.667,105
Lipscomb,2025-11-06,0,1,0,1,Sewanee,.507,.587,.379,.692,105,.262,.273,.235,.909,46
Langston,2025-11-06,0,0,2,0,Oklahoma St.,.209,.212,.200,.682,35,.537,.643,.462,.789,105
Stetson,2025-11-06,0,1,0,0,Warner,.468,.545,.371,.750,105,.255,.261,.222,.526,40
Hampton,2025-11-05,0,0,0,0,Newport News,.517,.576,.333,.615,105,.216,.259,.100,.667,21
N New Mexico,2025-11-04,0,0,0,0,Northern Colo.,.179,.220,.067,.556,31,.434,.467,.395,.818,105
Centenary (LA),2025-11-03,0,0,0,0,Southeastern LA,.367,.478,.269,.500,49,.507,.592,.278,.780,105
Michigan St.,2026-02-18,20,6,8,17,Northwestern,.527,.542,.500,.684,104,.519,.571,.333,.571,68
Notre Dame (MD),2025-12-30,0,0,4,7,UMBC,.143,.133,.250,.583,22,.519,.660,.290,.786,104
Aquinas,2025-12-19,0,0,8,4,Fort Wayne,.212,.258,.143,.750,31,.592,.718,.438,.750,104
Bowling Green,2025-12-14,5,4,0,0,Lourdes,.571,.793,.382,.704,104,.380,.393,.348,.800,76
Michigan,2025-12-07,7,1,5,3,Purdue,.589,.683,.333,.733,104,.328,.324,.333,.727,56
UConn,2025-11-30,6,0,4,2,Xavier,.486,.472,.500,.727,104,.217,.192,.250,.778,39
BYU,2025-11-13,2,0,1,2,Omaha,.526,.683,.351,.429,104,.255,.250,.263,.667,47
Buena Vista,2025-11-10,0,0,2,0,South Dakota,.283,.233,.348,.842,54,.465,.596,.308,.923,104
Kentucky,2025-11-06,1,0,1,0,Monmouth,.582,.710,.472,.692,104,.279,.333,.200,.538,46
South Dakota,2025-11-03,0,0,0,0,York (NE),.513,.600,.222,.833,104,.186,.184,.190,.875,33
Thiel,2025-11-03,0,0,0,0,Youngstown St.,.213,.219,.200,.714,33,.514,.583,.385,.581,104
South Carolina,2026-03-21 NCAA,31,3,20,13,Southern U.,.547,.702,.286,.619,103,.185,.182,.190,.667,34
N.C. Central,2026-02-03,4,14,0,0,Peace,.482,.634,.341,.462,103,.250,.160,.323,.591,51
Alabama,2026-02-01,19,3,20,2,LSU,.344,.306,.393,.615,63,.561,.600,.476,.826,103
South Carolina,2026-01-25,19,2,20,0,Vanderbilt,.615,.625,.588,.929,103,.459,.444,.480,.750,74
Ball St.,2026-01-14,12,4,2,13,Buffalo,.556,.591,.474,.727,103,.397,.436,.316,.474,61
Oral Roberts,2026-01-10,9,7,12,4,South Dakota St.,.381,.531,.226,.875,76,.486,.469,.500,.800,103
Eastern Ky.,2026-01-03,10,4,7,5,Queens (NC),.567,.694,.419,.778,103,.224,.220,.235,.792,49
Coastal Caro.,2025-12-29,6,7,0,1,Columbia Intl,.469,.542,.364,.652,103,.286,.333,.176,.600,41
Boston U.,2025-12-20,3,7,0,1,Maine-Fort Kent,.612,.707,.462,.563,103,.188,.191,.176,.455,32
South Carolina,2025-12-18,10,1,6,5,South Fla.,.629,.727,.267,.611,103,.306,.340,.167,.444,44
Little Rock,2025-12-11,3,5,9,1,Oklahoma,.246,.229,.294,.647,48,.547,.593,.429,.706,103
FIU,2025-12-05,3,3,4,4,Georgia St.,.576,.692,.350,.757,103,.471,.568,.355,.607,92
Bowling Green,2025-12-03,3,4,0,1,Kentucky St.,.542,.636,.423,.622,103,.250,.255,.200,.455,32
NC State,2025-12-03,5,3,7,1,Oklahoma,.418,.530,.120,.731,98,.477,.578,.182,.630,103
Coastal Caro.,2025-11-28,3,4,1,4,Jackson St.,.554,.632,.444,.655,103,.333,.390,.240,.524,61
Texas Southern,2025-11-27,3,1,5,1,Troy,.348,.404,.227,.724,74,.450,.464,.417,.750,103
Arkansas Baptist,2025-11-21,0,1,2,2,NW St.,.296,.333,.167,.600,52,.557,.694,.412,.733,103
Nebraska,2025-11-19,4,0,2,3,Oral Roberts,.514,.569,.391,.947,103,.373,.385,.350,.538,58
Alabama A&M,2025-11-05,0,0,0,0,Talladega,.500,.625,.308,.806,103,.132,.154,.071,.607,32
Bethesda CA,2025-11-04,0,1,0,0,Cal St Northridge,.091,.045,.136,.250,13,.440,.591,.298,.643,103
Abilene Christ.,2025-11-03,0,0,0,0,Howard Payne,.621,.882,.344,.833,103,.300,.316,.286,.500,33
NW St.,2025-11-03,0,0,0,0,Nebraska,.357,.423,.250,.500,46,.610,.667,.471,.767,103
Park (AZ),2025-11-03,0,0,0,0,Southern Utah,.299,.344,.257,.667,55,.515,.523,.500,.686,103
High Point,2026-03-21 NCAA,27,5,27,4,Vanderbilt,.365,.385,.333,.700,61,.487,.544,.316,.846,102
Oklahoma,2026-02-09,17,5,22,2,Vanderbilt,.474,.648,.083,.714,86,.452,.524,.355,.806,102
North Dakota St.,2026-02-07,21,2,3,22,Omaha,.623,.652,.533,.857,102,.333,.333,.333,.611,51
Santa Clara,2026-01-29,17,5,4,18,Washington St.,.528,.676,.371,.765,102,.403,.431,.313,.706,71
La.-Monroe,2026-01-17,8,9,1,16,Louisiana,.417,.434,.387,.870,102,.449,.514,.286,.667,58
Akron,2025-12-31,3,9,9,4,Ball St.,.400,.455,.308,.643,73,.500,.532,.429,.694,102
UTEP,2025-12-29,7,3,0,0,Univ of the SW,.419,.500,.286,.560,102,.290,.353,.214,1.000,43
Bucknell,2025-12-20,3,7,0,0,Gwynedd-Mercy,.603,.650,.536,.714,102,.213,.250,.133,.571,26
MVSU,2025-12-17,1,8,10,1,Ole Miss,.245,.297,.125,.600,34,.481,.552,.263,.742,102
Sacramento St.,2025-12-15,5,5,0,1,Simpson (CA),.567,.604,.474,.654,102,.264,.370,.154,.526,42
Iowa,2025-12-13,9,1,7,2,Lindenwood,.577,.635,.421,.632,102,.483,.576,.360,.750,68
DePaul,2025-12-07,2,7,8,0,UConn,.271,.259,.286,.750,35,.635,.627,.667,.583,102
Evergreen St.,2025-12-02,0,0,3,5,Seattle,.230,.257,.192,.333,37,.568,.574,.550,.700,102
Detroit Mercy,2025-11-26,1,3,5,1,Michigan,.271,.259,.286,.840,53,.494,.564,.333,.727,102
Indiana St.,2025-11-24,2,3,0,0,SMWC,.520,.718,.306,.591,102,.302,.290,.318,.647,50
Longwood,2025-11-24,4,2,4,0,Ole Miss,.310,.341,.214,.688,50,.494,.574,.304,.760,102
Michigan St.,2025-11-23,5,0,2,3,Oakland,.542,.583,.458,.565,102,.283,.393,.160,.636,41
Nelson,2025-11-13,0,1,2,0,North Texas,.309,.300,.320,.800,50,.494,.554,.300,.600,102
Duquesne,2025-11-11,3,0,0,0,West Liberty,.500,.534,.273,.556,102,.333,.308,.349,.923,73
Morris College,2025-11-05,0,0,0,0,South Carolina St.,.218,.268,.071,.600,34,.472,.652,.279,.462,102
South Carolina,2026-03-23 NCAA,32,3,18,13,USC,.536,.611,.267,.852,101,.373,.294,.480,.455,61
LSU,2026-03-22 NCAA,28,5,26,7,Texas Tech,.565,.636,.389,.923,101,.254,.296,.222,.778,47
New Orleans,2026-02-19,3,22,18,8,Stephen F. Austin,.306,.316,.267,.842,64,.481,.610,.333,.789,101
Ball St.,2026-02-01,16,5,9,11,Kent St.,.521,.600,.348,.810,101,.470,.553,.357,.760,91
Illinois St.,2026-01-02,7,6,10,2,Murray St.,.437,.417,.478,.690,93,.456,.509,.346,.800,101
Houston,2025-12-21,6,5,10,2,West Virginia,.415,.433,.364,.500,46,.514,.532,.478,.692,101
Cheyney,2025-12-20,0,1,5,4,Monmouth,.306,.326,.263,.526,53,.488,.577,.333,.688,101
Lindsey Wilson,2025-12-20,0,0,8,2,Murray St.,.308,.357,.100,.917,44,.494,.615,.368,.611,101
Butler,2025-12-11,4,6,4,3,Indiana St.,.578,.692,.400,.708,101,.279,.347,.105,.593,56
Prairie View,2025-12-07,2,5,9,0,Texas,.267,.325,.150,.438,42,.481,.552,.083,.727,101
Nebraska,2025-12-06,8,0,6,1,Penn St.,.529,.615,.414,.810,101,.542,.581,.438,.857,83
MVSU,2025-12-04,1,5,5,2,Tulsa,.316,.317,.313,.571,53,.514,.550,.469,.750,101
High Point,2025-12-01,7,1,0,1,UVA Wise,.667,.784,.478,.714,101,.322,.323,.321,.833,57
