Team,Date,wins_before_date,losses_before_date,opponent_wins_before_date,opponent_losses_before_date,Opponent,Team_FG_pct,Team_2_pct,Team_3_pct,Team_FT_pct,Team_Points,Opp_FG_pct,Opp_2_pct,Opp_3_pct,Opp_FT_pct,Opp_Points
Missouri St.,2026-01-15,11,5,9,6,UTEP,.500,.522,.400,.688,71,.431,.442,.400,.667,64
Pacific,2026-01-15,7,9,10,7,Pepperdine,.339,.410,.176,.857,53,.435,.476,.350,.833,71
Southern Ind.,2026-01-15,11,4,10,5,Tennessee Tech,.436,.475,.333,.818,71,.333,.347,.304,.824,69
Western Caro.,2026-01-15,3,13,7,9,Wofford,.385,.419,.318,.727,65,.429,.500,.154,.714,71
Kent St.,2026-01-14,6,10,10,4,Ohio,.371,.467,.281,.800,71,.442,.609,.310,.722,68
Houston,2026-01-13,6,10,18,0,Texas Tech,.367,.400,.286,.731,59,.456,.513,.333,.765,71
Temple,2026-01-13,7,8,6,10,Tulane,.321,.394,.217,.773,58,.444,.485,.381,.750,71
DePaul,2026-01-13,4,14,9,7,Xavier,.365,.370,.353,.600,61,.472,.537,.250,.692,71
Loyola (IL),2026-01-11,5,10,8,9,Saint Louis,.429,.474,.333,.773,71,.355,.410,.261,.824,64
Eastern Ill.,2026-01-10,2,14,2,12,Tennessee St.,.381,.421,.320,.789,71,.304,.302,.308,.700,45
Fresno St.,2026-01-10,8,8,3,12,Grand Canyon,.410,.446,.000,.737,64,.481,.441,.556,.846,71
Lindenwood,2026-01-10,11,5,8,7,Little Rock,.472,.515,.400,.722,71,.279,.341,.118,.875,43
Buffalo,2026-01-10,2,12,9,4,Ohio,.404,.500,.222,.722,59,.474,.561,.250,.684,71
Cincinnati,2026-01-10,6,10,17,0,Texas Tech,.426,.463,.308,.667,60,.411,.406,.417,.938,71
Binghamton,2026-01-08,9,5,13,4,Vermont,.458,.457,.462,.840,71,.491,.656,.280,.571,67
Northern Ariz.,2026-01-08,5,10,6,9,Weber St.,.391,.341,.478,.833,71,.322,.444,.130,.850,58
Central Conn St,2026-01-08,0,13,4,9,Stonehill,.429,.488,.231,.500,53,.477,.609,.158,.750,71
Army,2026-01-07,10,3,5,8,Loyola (MD),.393,.467,.308,.792,71,.382,.405,.308,.741,66
Cincinnati,2026-01-07,5,10,14,1,Iowa St.,.490,.500,.444,.708,71,.358,.435,.190,.550,63
Houston,2026-01-07,6,8,8,8,Kansas St.,.361,.514,.154,.700,62,.404,.409,.385,.690,71
Dayton,2026-01-07,8,6,4,10,Loyola (IL),.458,.500,.333,.769,68,.441,.500,.316,.722,71
Texas Tech,2026-01-07,16,0,13,2,West Virginia,.444,.432,.471,.833,71,.387,.439,.286,.600,66
Oregon,2026-01-06,13,3,10,4,USC,.415,.429,.391,.667,71,.333,.349,.308,.857,66
Fort Wayne,2026-01-05,10,5,5,9,IU Indy,.483,.553,.350,.667,71,.250,.258,.235,.600,46
Cal,2026-01-04,9,6,10,4,NC State,.436,.576,.227,.700,60,.444,.511,.250,.733,71
Ohio St.,2026-01-04,12,2,8,6,Rutgers,.415,.449,.313,.706,71,.393,.462,.235,.200,49
Arizona St.,2026-01-03,15,0,12,2,BYU,.365,.395,.286,.741,62,.385,.577,.256,.733,71
Charlotte,2026-01-03,7,7,7,6,UAB,.352,.364,.333,.800,71,.464,.606,.261,.667,60
Davidson,2026-01-03,10,5,8,7,Saint Louis,.529,.647,.294,.706,71,.321,.342,.278,.875,55
Alabama St.,2026-01-01,3,8,3,7,Ark-Pine Bluff,.371,.429,.238,.636,71,.348,.405,.250,.481,65
Austin Peay,2026-01-01,8,2,8,3,Jacksonville,.490,.559,.353,.652,71,.407,.471,.300,.625,65
Cal,2026-01-01,9,5,12,3,UNC,.423,.455,.368,.800,55,.476,.551,.214,.727,71
Florida A&M,2025-12-29,0,10,0,0,Southeastern (FL),.386,.431,.167,.789,71,.390,.436,.300,.813,65
Lindenwood,2025-12-29,8,4,0,0,Ottawa (KS),.365,.345,.391,.774,71,.245,.240,.250,1.000,36
Indiana,2025-12-29,11,2,9,3,Minnesota,.385,.333,.429,.750,48,.408,.421,.357,.800,71
East Texas A&M,2025-12-29,4,5,7,4,Stephen F. Austin,.373,.405,.320,.813,71,.458,.548,.235,.667,68
Duke,2025-12-28,6,6,11,1,Syracuse,.406,.480,.143,.708,71,.344,.385,.167,.417,51
Missouri,2025-12-28,11,3,3,9,UMKC,.371,.440,.324,.813,71,.355,.415,.217,.667,67
Indiana,2025-12-21,10,2,2,10,Western Caro.,.500,.567,.400,.565,71,.283,.323,.227,.750,44
BYU,2025-12-20,11,1,8,3,UCF,.391,.386,.417,.706,71,.358,.400,.125,.579,50
Northern Ariz.,2025-12-20,3,9,6,4,UC San Diego,.482,.537,.333,.571,71,.403,.490,.217,.417,68
George Mason,2025-12-20,6,5,10,1,Princeton,.381,.463,.227,.762,69,.429,.571,.190,.760,71
Stetson,2025-12-20,6,3,4,5,Stonehill,.403,.447,.333,.650,71,.324,.426,.125,1.000,65
South Dakota,2025-12-18,8,4,4,6,UTRGV,.448,.545,.261,.455,71,.224,.225,.222,.667,44
Coastal Caro.,2025-12-17,6,5,8,4,James Madison,.373,.333,.435,.667,68,.410,.436,.364,.650,71
Grambling,2025-12-17,2,9,8,3,Rice,.262,.298,.143,.619,47,.414,.442,.370,.600,71
Charlotte,2025-12-14,4,6,7,3,Davidson,.473,.489,.375,.889,71,.392,.414,.364,.765,61
Loyola Marymount,2025-12-13,4,3,1,9,Wichita St.,.356,.390,.214,.474,64,.490,.552,.400,.750,71
East Texas A&M,2025-12-12,3,4,6,3,McNeese,.386,.500,.250,1.000,45,.420,.500,.077,.857,71
Eastern Wash.,2025-12-10,5,4,1,8,Washington St.,.449,.510,.300,.333,71,.391,.548,.242,.917,69
Manhattan,2025-12-07,0,8,7,3,NJIT,.404,.477,.154,.600,54,.456,.459,.450,.476,71
Queens (NC),2025-12-07,3,4,2,8,Western Caro.,.362,.375,.333,.920,71,.323,.333,.286,.690,64
Binghamton,2025-12-06,4,3,2,6,Buffalo,.373,.462,.200,.852,71,.328,.354,.231,.682,58
Northern Colo.,2025-12-06,7,2,1,7,Omaha,.362,.444,.290,.800,71,.434,.600,.286,1.000,60
Belmont,2025-12-03,3,4,3,4,Middle Tenn.,.379,.419,.333,.720,71,.468,.500,.421,.929,65
Campbell,2025-12-03,4,5,5,3,Mercer,.528,.500,.636,.571,71,.259,.275,.214,.783,49
Indiana,2025-12-03,7,1,1,4,Western Mich.,.431,.511,.250,.714,71,.375,.424,.304,.400,53
Massachusetts,2025-12-03,6,0,3,5,Northeastern,.483,.537,.353,.643,71,.407,.475,.214,.625,52
Colorado,2025-11-30,5,2,4,1,Montana St.,.490,.571,.286,.783,70,.411,.475,.250,.750,71
Lafayette,2025-11-30,4,3,6,2,NJIT,.351,.395,.214,.850,60,.400,.378,.440,.800,71
DePaul,2025-11-30,2,5,6,1,Princeton,.231,.244,.200,.700,41,.418,.476,.320,.700,71
Charleston So.,2025-11-28,1,5,4,3,Mercer,.238,.250,.229,.583,45,.456,.436,.500,.714,71
Campbell,2025-11-28,4,3,3,2,North Dakota St.,.352,.404,.000,.647,49,.490,.516,.450,.857,71
Miami (OH),2025-11-28,4,2,0,6,Washington St.,.414,.436,.368,.800,67,.446,.543,.286,.789,71
FDU,2025-11-25,3,3,6,1,NJIT,.418,.409,.435,.500,71,.373,.421,.231,.400,43
Oregon,2025-11-25,6,0,5,1,Saint Mary's,.489,.630,.300,.950,71,.438,.533,.278,.545,53
Nevada,2025-11-24,3,2,5,1,Utah Valley,.574,.576,.571,.750,71,.259,.353,.100,.600,42
Central Conn St,2025-11-24,0,4,4,1,St. John's (NY),.317,.370,.143,.545,46,.448,.513,.316,.619,71
Idaho St.,2025-11-23,4,1,1,3,Loyola Marymount,.440,.488,.143,.500,52,.396,.500,.211,.758,71
Missouri,2025-11-23,4,2,0,5,Washington St.,.482,.525,.375,.786,71,.292,.341,.226,.833,54
Long Beach State,2025-11-23,0,5,4,1,Oregon St.,.338,.438,.242,.500,55,.442,.563,.250,.625,71
Towson,2025-11-23,3,2,2,3,UMBC,.426,.414,.444,.719,71,.323,.381,.200,.800,64
Vermont,2025-11-23,4,1,4,0,Washington,.291,.318,.182,.714,39,.462,.571,.125,.900,71
Colorado,2025-11-22,3,1,2,3,UTA,.404,.479,.000,.862,71,.422,.433,.400,.615,60
Portland St.,2025-11-22,1,3,2,1,Utah Tech,.383,.396,.286,.682,63,.429,.543,.286,.692,71
High Point,2025-11-19,4,0,4,0,Vermont,.481,.500,.400,.882,71,.417,.450,.350,.667,65
Drexel,2025-11-19,4,0,1,3,Lehigh,.348,.377,.231,.727,57,.519,.714,.292,.769,71
Coastal Caro.,2025-11-19,2,3,2,2,NC State,.343,.447,.207,.857,58,.452,.576,.310,.500,71
Oregon St.,2025-11-18,3,0,2,1,Utah St.,.475,.561,.300,.778,71,.344,.395,.269,.167,52
Colorado St.,2025-11-17,3,0,1,3,San Diego,.519,.571,.458,.500,71,.275,.297,.214,.684,44
George Washington,2025-11-17,1,2,3,1,Longwood,.393,.432,.333,.545,62,.377,.391,.333,.769,71
Alabama St.,2025-11-16,1,3,0,0,Faulkner,.397,.462,.310,.615,71,.491,.559,.381,.600,77
Duke,2025-11-16,2,2,2,1,Liberty,.460,.524,.333,.500,71,.396,.410,.357,.556,57
Bowling Green,2025-11-14,1,2,2,1,Marquette,.317,.389,.208,.667,55,.569,.639,.400,.636,71
Robert Morris,2025-11-13,2,0,0,2,SFU,.453,.628,.095,.846,71,.429,.429,.429,.500,61
Sacramento St.,2025-11-12,2,1,1,1,UC San Diego,.407,.410,.400,.652,71,.323,.341,.286,.667,60
Dayton,2025-11-11,1,1,2,0,Xavier,.448,.513,.316,.565,71,.308,.368,.222,.870,66
Md.-East. Shore,2025-11-11,1,1,1,1,Monmouth,.415,.452,.273,.667,71,.354,.361,.333,.636,66
Central Mich.,2025-11-09,0,1,0,0,Davenport,.362,.358,.375,.517,71,.306,.393,.190,.435,44
N.C. A&T,2025-11-09,0,2,1,1,New Mexico,.400,.359,.545,.621,64,.375,.425,.292,.593,71
Rutgers,2025-11-09,2,0,1,1,Stony Brook,.362,.357,.368,.765,54,.385,.426,.278,.640,71
Drexel,2025-11-07,1,0,0,1,Marist,.443,.449,.417,.750,71,.411,.381,.500,.727,61
Davidson,2025-11-06,0,1,0,0,William & Mary,.500,.500,.500,.765,71,.304,.278,.350,.643,50
La Salle,2025-11-06,0,0,0,1,Loyola (MD),.500,.571,.200,.607,71,.444,.583,.167,.471,59
Elon,2025-11-06,1,0,1,0,UNC,.288,.364,.158,.800,37,.394,.533,.154,.647,71
Evansville,2025-11-06,0,0,0,1,SE Missouri St,.278,.292,.258,.667,66,.400,.438,.294,.636,71
Auburn,2025-11-03,0,0,0,0,Charlotte,.339,.447,.167,.806,71,.351,.361,.333,.733,58
Bryant,2025-11-03,0,0,0,0,Central Conn St,.556,.607,.471,.650,71,.314,.333,.278,.765,50
Chicago St.,2025-11-03,0,0,0,0,Cleveland St.,.267,.353,.154,.813,49,.436,.500,.294,.692,71
Radford,2025-11-03,0,0,0,0,Wake Forest,.342,.425,.242,.600,64,.338,.417,.241,.667,71
BYU,2026-03-30,25,11,22,13,Kansas,.431,.516,.333,.688,70,.375,.425,.250,.808,67
Notre Dame,2026-03-29 NCAA,25,10,37,0,UConn,.391,.412,.333,.632,52,.444,.486,.353,.800,70
Duke,2026-03-29 NCAA,27,8,34,1,UCLA,.387,.469,.077,1.000,58,.500,.614,.143,.769,70
Binghamton,2026-03-23,20,12,18,13,La Salle,.429,.564,.118,1.000,61,.444,.463,.385,.810,70
Oregon,2026-03-20 NCAA,22,12,23,9,Virginia Tech,.482,.512,.385,.524,70,.318,.286,.375,.600,60
Abilene Christ.,2026-03-13,22,9,12,20,UTA,.479,.500,.438,.773,70,.380,.400,.300,.474,50
UC Davis,2026-03-12,22,9,11,20,UC Riverside,.475,.560,.333,.771,70,.322,.400,.071,.741,59
Coppin St.,2026-03-12,9,22,9,19,N.C. Central,.442,.553,.143,.759,70,.280,.324,.188,.568,52
Southern Utah,2026-03-12,19,11,11,20,UTA,.358,.333,.412,.741,65,.396,.408,.250,.711,70
Mercyhurst,2026-03-09,14,15,12,17,Stonehill,.446,.621,.259,.684,70,.519,.579,.357,.714,64
Duke,2026-03-08,23,8,27,6,Louisville,.386,.378,.400,.692,70,.419,.463,.333,.667,65
UC Davis,2026-03-07,22,8,25,5,UC Irvine,.392,.607,.130,1.000,58,.431,.379,.500,1.000,70
Charleston,2026-03-07,23,5,12,16,N.C. A&T,.371,.333,.423,.650,70,.480,.515,.412,.643,64
Jacksonville St.,2026-03-07,14,15,13,15,Kennesaw St.,.357,.421,.281,.688,70,.471,.548,.111,.867,62
La Salle,2026-03-06,18,12,25,6,Richmond,.302,.356,.167,.714,51,.439,.583,.190,.800,70
BYU,2026-03-05,21,10,19,11,Utah,.386,.407,.367,.789,70,.370,.481,.259,.500,52
Drexel,2026-03-05,19,8,7,20,Hofstra,.415,.421,.407,.625,70,.423,.463,.273,.900,56
Fla. Gulf Coast,2026-03-05,16,14,19,10,Stetson,.375,.367,.385,.611,63,.400,.375,.423,.864,70
Cal,2026-03-05,19,13,22,7,Syracuse,.380,.516,.158,.720,59,.472,.488,.400,.727,70
Elon,2026-03-05,14,14,14,13,William & Mary,.357,.415,.200,.727,59,.421,.500,.235,.857,70
Lamar,2026-03-02,19,9,5,23,Southeastern LA,.500,.629,.286,.727,70,.367,.345,.400,.615,52
Arkansas,2026-03-01,11,19,14,15,Auburn,.417,.417,.417,.714,70,.288,.410,.050,.429,41
Oregon,2026-03-01,20,10,19,9,Washington,.491,.595,.250,.813,69,.458,.563,.333,.583,70
Cal St Northridge,2026-02-28,9,17,9,19,UC Riverside,.382,.405,.333,.765,61,.393,.378,.438,.714,70
UC Irvine,2026-02-28,24,4,19,8,UCSB,.345,.314,.400,.941,62,.500,.636,.375,.750,70
Detroit Mercy,2026-02-28,5,23,15,15,Northern Ky.,.379,.354,.444,.600,70,.438,.522,.222,.750,69
La Salle,2026-02-28,16,12,13,15,Loyola (IL),.463,.478,.375,.515,70,.350,.459,.174,.458,57
Eastern Mich.,2026-02-28,12,14,5,22,Northern Ill.,.373,.533,.207,.733,61,.453,.455,.450,.813,70
Kansas,2026-02-28,18,11,22,8,Oklahoma St.,.480,.647,.125,.667,56,.484,.697,.241,.600,70
San Diego St.,2026-02-28,23,4,9,18,Wyoming,.456,.486,.409,.692,70,.365,.394,.316,.778,51
Eastern Ill.,2026-02-28,4,26,14,15,SIU Edwardsville,.333,.389,.200,.667,43,.469,.535,.333,.750,70
Charleston,2026-02-27,21,4,13,12,William & Mary,.375,.405,.318,.833,70,.408,.469,.294,.500,48
Cal,2026-02-26,17,12,19,9,Clemson,.382,.345,.423,1.000,63,.519,.548,.400,.667,70
Eastern Wash.,2026-02-26,13,15,20,8,Northern Colo.,.397,.452,.333,.833,65,.467,.568,.304,.636,70
Pepperdine,2026-02-26,17,11,16,12,Portland,.459,.500,.353,.571,70,.318,.324,.310,.667,63
Elon,2026-02-22,12,13,7,17,Northeastern,.491,.571,.350,.900,70,.370,.409,.200,.750,57
UC Irvine,2026-02-21,22,4,18,7,UC San Diego,.373,.432,.214,.829,70,.410,.528,.240,.857,68
Fla. Gulf Coast,2026-02-21,13,13,19,7,Jacksonville,.333,.472,.095,.700,61,.431,.459,.381,.667,70
Lindenwood,2026-02-21,21,7,14,12,Tennessee Tech,.549,.676,.214,.846,70,.345,.412,.250,.611,57
Houston Christian,2026-02-21,8,17,13,13,NW St.,.472,.622,.125,.545,64,.350,.375,.300,.846,70
Oral Roberts,2026-02-21,13,13,7,20,UMKC,.480,.516,.421,.824,70,.408,.433,.273,.700,68
North Dakota,2026-02-21,7,20,13,14,St. Thomas,.432,.522,.333,.765,58,.482,.621,.333,.875,70
Middle Tenn.,2026-02-21,14,11,6,18,Western Ky.,.364,.400,.300,.792,65,.423,.556,.280,.826,70
Cal St Fullerton,2026-02-19,15,10,19,7,UC Davis,.406,.415,.364,.533,64,.521,.739,.320,.800,70
Albany (NY),2026-02-19,13,12,16,10,NJIT,.439,.410,.500,.455,64,.490,.571,.391,.733,70
Air Force,2026-02-18,12,13,20,6,Boise St.,.391,.467,.211,.727,62,.500,.513,.462,.750,70
Colorado St.,2026-02-18,19,7,8,17,Nevada,.441,.525,.263,.867,70,.393,.478,.133,.563,59
Kent St.,2026-02-18,11,13,5,20,Northern Ill.,.434,.487,.286,.741,70,.447,.467,.412,.857,67
Grand Canyon,2026-02-18,9,16,17,9,New Mexico,.400,.500,.310,.833,68,.417,.500,.250,.789,70
Central Mich.,2026-02-14,15,8,7,15,Western Mich.,.453,.432,.556,.810,70,.473,.533,.400,.500,67
Oregon St.,2026-02-14,17,9,10,14,Pacific,.472,.512,.333,.640,70,.414,.457,.250,.750,60
Lipscomb,2026-02-14,9,15,8,16,Queens (NC),.407,.444,.333,.800,66,.446,.441,.455,.526,70
Columbia,2026-02-13,15,6,19,2,Princeton,.424,.429,.412,.765,70,.455,.489,.300,.375,56
Harvard,2026-02-13,13,8,5,16,Yale,.500,.578,.267,.545,70,.478,.475,.500,.750,62
Cal St Fullerton,2026-02-12,14,9,3,19,Long Beach State,.314,.362,.083,.781,70,.432,.583,.250,.679,62
South Dakota,2026-02-12,19,6,7,17,UMKC,.355,.353,.364,.759,70,.409,.444,.250,.667,65
George Washington,2026-02-11,13,12,15,8,Saint Joseph's,.449,.459,.417,.700,63,.435,.412,.500,.706,70
Marquette,2026-02-11,16,8,15,8,Seton Hall,.390,.514,.208,.778,58,.403,.410,.391,.786,70
Kansas St.,2026-02-10,13,12,19,6,Oklahoma St.,.490,.488,.500,.800,70,.404,.472,.250,.714,61
North Texas,2026-02-10,13,10,20,3,Rice,.417,.471,.111,.895,68,.375,.343,.429,.731,70
Kansas,2026-02-10,15,10,22,3,Texas Tech,.455,.485,.364,.840,65,.350,.455,.222,.815,70
Illinois,2026-02-08,16,7,14,9,USC,.394,.462,.143,.615,62,.444,.500,.267,.833,70
Belmont,2026-02-07,13,9,11,11,UNI,.542,.640,.435,.667,70,.396,.476,.333,.917,58
Fordham,2026-02-07,9,14,12,11,La Salle,.328,.333,.308,.750,53,.547,.667,.350,.833,70
Sam Houston,2026-02-07,13,7,10,11,UTEP,.472,.488,.400,.552,70,.390,.435,.231,.750,58
Abilene Christ.,2026-02-05,16,6,10,10,Utah Valley,.426,.438,.409,.882,70,.450,.500,.389,.538,50
Ohio St.,2026-02-05,20,3,17,5,Washington,.484,.543,.313,.714,70,.400,.415,.357,.786,60
SMU,2026-02-05,8,14,12,11,Wake Forest,.462,.486,.412,.667,65,.490,.528,.400,.636,70
Fort Wayne,2026-02-05,15,8,6,17,Wright St.,.460,.585,.227,.308,67,.532,.556,.500,.769,70
Boise St.,2026-02-04,17,5,7,14,Nevada,.412,.414,.409,.792,70,.415,.463,.250,.875,61
Presbyterian,2026-02-04,3,19,6,17,USC Upstate,.309,.297,.333,.852,63,.535,.531,.545,.720,70
Boston College,2026-02-01,4,19,9,13,Ga Tech,.358,.463,.192,.875,60,.468,.587,.125,.667,70
High Point,2026-02-01,19,2,3,18,Presbyterian,.449,.591,.333,.739,70,.327,.410,.077,.462,41
Baylor,2026-02-01,19,3,17,5,West Virginia,.298,.310,.278,.844,60,.343,.365,.278,.850,70
American,2026-01-31,5,15,8,12,Lafayette,.422,.476,.318,.818,70,.355,.387,.323,.667,60
Cal Poly,2026-01-31,3,17,6,14,UC Riverside,.375,.426,.235,.636,66,.466,.588,.292,.500,70
Austin Peay,2026-01-31,13,6,13,7,Jacksonville,.473,.528,.368,.692,68,.417,.455,.313,.682,70
Central Ark.,2026-01-31,11,9,12,8,Stetson,.442,.609,.310,.818,64,.475,.561,.300,.857,70
Chicago St.,2026-01-29,4,17,2,17,SFU,.375,.396,.313,.607,70,.375,.421,.200,.742,61
McNeese,2026-01-29,16,4,14,6,Stephen F. Austin,.291,.343,.105,.667,70,.368,.387,.346,.619,64
Mt. St. Mary's,2026-01-29,9,11,4,16,Rider,.407,.450,.286,.759,70,.390,.474,.238,.533,59
Jacksonville St.,2026-01-29,11,8,11,6,Sam Houston,.356,.406,.231,.696,51,.393,.426,.286,.667,70
Incarnate Word,2026-01-29,10,8,3,15,TAMUCC,.322,.382,.240,.667,64,.389,.395,.375,.733,70
Tarleton St.,2026-01-29,10,8,9,10,Utah Valley,.383,.415,.316,.789,67,.400,.457,.300,.741,70
Ga. Southern,2026-01-28,15,5,11,9,Southern Miss.,.453,.545,.250,.700,70,.417,.436,.381,1.000,67
Furman,2026-01-24,12,8,8,13,Samford,.411,.421,.389,.607,70,.400,.519,.286,.769,62
American,2026-01-24,5,13,10,8,Holy Cross,.352,.323,.391,.846,58,.490,.545,.389,.765,70
Kennesaw St.,2026-01-24,9,8,7,12,New Mexico St.,.434,.541,.188,.553,70,.324,.346,.250,.875,55
Idaho St.,2026-01-24,12,6,5,13,Montana,.371,.404,.278,.714,67,.455,.526,.417,.556,70
Rice,2026-01-24,16,3,8,10,Tulane,.435,.500,.300,.909,70,.367,.400,.267,.667,60
Niagara,2026-01-24,0,18,9,10,Sacred Heart,.439,.514,.300,.750,65,.420,.500,.167,.722,70
NW St.,2026-01-22,9,8,13,5,Stephen F. Austin,.355,.395,.292,.706,63,.438,.464,.400,.714,70
Hampton,2026-01-18,8,8,6,9,N.C. A&T,.333,.314,.368,.824,57,.439,.452,.400,.636,70
Duquesne,2026-01-18,7,10,15,2,Rhode Island,.396,.405,.375,.400,50,.343,.395,.250,.783,70
Alabama,2026-01-18,17,2,12,3,Tennessee,.356,.419,.286,.692,59,.417,.425,.400,.857,70
Holy Cross,2026-01-17,9,7,7,9,Lafayette,.491,.500,.474,.900,70,.345,.406,.261,.571,48
McNeese,2026-01-17,13,4,9,8,UTRGV,.413,.426,.375,.750,70,.333,.294,.429,.762,54
Abilene Christ.,2026-01-15,12,5,11,7,Cal Baptist,.355,.317,.429,.680,70,.353,.512,.080,1.000,58
East Texas A&M,2026-01-15,7,7,6,8,Incarnate Word,.421,.489,.167,.765,63,.373,.432,.273,.769,70
Morehead St.,2026-01-15,9,8,2,13,Tennessee St.,.356,.500,.226,.765,62,.500,.517,.467,.704,70
Sacred Heart,2026-01-14,6,9,6,9,Siena,.510,.543,.429,.667,70,.308,.372,.182,.933,58
Northern Ill.,2026-01-14,3,12,7,7,Toledo,.400,.424,.333,.750,49,.529,.667,.333,.643,70
South Fla.,2026-01-13,10,7,8,6,UTSA,.458,.447,.476,.750,70,.367,.409,.250,.625,53
IU Indy,2026-01-11,5,10,6,11,Wright St.,.540,.667,.350,.643,70,.356,.415,.222,.619,59
LSU,2026-01-11,15,2,18,0,Texas,.388,.426,.231,.789,70,.439,.467,.333,.611,65
UC Riverside,2026-01-10,5,9,9,5,UC San Diego,.323,.423,.250,.833,54,.492,.490,.500,.667,70
Fla. Atlantic,2026-01-10,6,9,7,8,UAB,.413,.462,.333,.625,70,.400,.553,.185,.545,63
Nevada,2026-01-10,6,9,12,4,New Mexico,.467,.595,.261,.533,70,.421,.486,.318,.600,61
FIU,2026-01-08,7,5,7,7,Jacksonville St.,.368,.400,.278,.857,67,.429,.400,.462,.588,70
New Mexico St.,2026-01-08,5,9,4,9,Western Ky.,.517,.565,.333,.750,70,.509,.605,.294,.857,67
Mt. St. Mary's,2026-01-08,6,7,10,4,Quinnipiac,.293,.340,.000,.833,44,.388,.417,.355,.636,70
Air Force,2026-01-07,7,7,10,5,Boise St.,.362,.400,.304,.714,59,.520,.533,.500,.615,70
Nevada,2026-01-07,5,9,4,9,Wyoming,.492,.532,.357,.556,70,.390,.455,.308,.857,60
South Fla.,2026-01-06,8,7,7,7,UAB,.413,.423,.364,.609,70,.385,.488,.182,.786,65
Temple,2026-01-06,6,7,3,12,Wichita St.,.408,.490,.200,.667,70,.353,.385,.250,.688,50
Michigan,2026-01-05,11,2,10,3,Minnesota,.429,.541,.211,.692,70,.386,.444,.286,1.000,60
Clemson,2026-01-04,10,5,10,4,Miami (FL),.441,.560,.353,.857,70,.438,.471,.357,.667,55
Ill.-Chicago,2026-01-04,6,8,5,8,Indiana St.,.382,.434,.200,.789,70,.314,.357,.143,.688,57
Central Conn St,2026-01-04,0,12,3,9,New Haven,.377,.405,.273,.533,51,.452,.513,.348,.667,70
Loyola (IL),2026-01-03,4,9,11,2,Rhode Island,.418,.476,.231,.643,58,.387,.422,.294,.810,70
Tulane,2026-01-03,5,8,3,11,Wichita St.,.379,.465,.217,.682,70,.393,.500,.227,.733,60
Fisk,2026-01-02,0,3,6,10,Samford,.333,.303,.381,.769,54,.400,.607,.243,.818,70
Eastern Ill.,2026-01-01,1,12,4,7,SE Missouri St,.421,.379,.464,1.000,68,.433,.489,.267,.933,70
SIU Edwardsville,2026-01-01,8,4,8,3,Southern Ind.,.357,.459,.158,.600,55,.466,.500,.300,.722,70
Prairie View,2026-01-01,2,9,4,7,Southern U.,.488,.633,.154,.688,55,.375,.406,.182,.727,70
Rutgers,2026-01-01,8,5,9,4,Wisconsin,.390,.371,.417,.875,63,.453,.429,.480,.833,70
Rice,2025-12-30,10,3,7,6,South Fla.,.343,.318,.391,.750,70,.459,.481,.286,.833,68
Eastern Ky.,2025-12-29,8,4,6,5,Hampton,.375,.432,.286,.727,70,.292,.365,.100,.533,52
Delaware,2025-12-29,6,5,6,6,Harvard,.451,.500,.353,.846,63,.358,.447,.150,.905,70
Cleveland St.,2025-12-29,12,2,8,4,Youngstown St.,.386,.436,.278,.667,63,.459,.543,.346,.625,70
Michigan St.,2025-12-28,11,1,8,4,Rutgers,.353,.477,.125,.792,70,.415,.545,.200,.800,64
Mercer,2025-12-21,8,5,5,6,Tulane,.379,.394,.360,.654,70,.333,.412,.143,.640,67
Penn St.,2025-12-21,7,4,10,3,Richmond,.407,.463,.278,.500,54,.453,.622,.222,.750,70
South Dakota St.,2025-12-21,10,3,13,0,Texas,.356,.462,.211,.714,51,.455,.500,.250,.538,70
Columbia,2025-12-20,7,4,5,5,UTSA,.404,.607,.207,.621,70,.473,.559,.333,.667,65
Creighton,2025-12-20,5,5,3,10,DePaul,.403,.514,.240,.700,70,.300,.359,.190,.714,50
Memphis,2025-12-20,4,7,2,6,Southeastern LA,.406,.481,.176,.550,70,.355,.378,.320,.737,66
New Mexico St.,2025-12-20,3,7,8,4,Saint Mary's,.543,.606,.385,.364,59,.444,.514,.316,.615,70
Buffalo,2025-12-19,2,7,5,4,Tarleton St.,.387,.417,.286,.650,65,.435,.422,.471,.727,70
Houston Christian,2025-12-18,4,4,4,4,Nicholls St.,.486,.519,.400,.467,47,.500,.568,.333,.765,70
Central Ark.,2025-12-17,7,3,5,4,Louisiana Tech,.356,.412,.280,.750,55,.375,.400,.333,.636,70
Boise St.,2025-12-17,9,2,8,3,New Mexico,.400,.500,.227,.667,63,.422,.556,.105,.700,70
Alcorn St.,2025-12-15,3,5,4,5,UAB,.207,.184,.333,.833,32,.490,.476,.500,.615,70
American,2025-12-14,1,7,6,5,George Washington,.268,.278,.250,.818,44,.509,.677,.292,.778,70
North Ala.,2025-12-14,5,3,6,3,South Ala.,.389,.400,.357,.786,58,.406,.413,.389,.688,70
Drake,2025-12-13,1,7,5,6,St. Thomas,.297,.327,.200,.750,50,.400,.462,.345,.696,70
Fla. Atlantic,2025-12-12,5,3,2,5,Fla. Gulf Coast,.345,.345,.346,.667,59,.533,.567,.467,.652,70
Illinois,2025-12-10,8,1,9,2,Missouri,.444,.500,.267,.769,70,.382,.433,.320,.857,62
Fort Wayne,2025-12-10,6,4,2,8,Milwaukee,.393,.483,.313,.750,70,.380,.240,.520,.750,60
